,ERS433524_WLB_ERZ1746111,ERS433543_WLA_ERZ1746142,ERS433544_WLB_ERZ1746118,ERS433545_WLA_ERZ1746201,ERS433546_WLB_ERZ1746151,ERS433547_WLA_ERZ1746155,ERS433548_WHB_ERZ1746128,ERS433549_WHA_ERZ1746146,ERS433550_WHB_ERZ1746220,ERS433551_WHA_ERZ1746169,ERS433552_WHB_ERZ1746180,ERS433553_WHA_ERZ1746108,ERS433554_KLB_ERZ1746174,ERS433555_KLA_ERZ1746131,ERS433556_KLB_ERZ1746206,ERS433557_KLA_ERZ1746135,ERS433558_KLB_ERZ1746215,ERS433559_KLA_ERZ1746190,ERS433560_KHB_ERZ1746113,ERS433561_KHA_ERZ1746211,ERS433562_KHB_ERZ1746166,ERS433563_KHA_ERZ1746185,ERS433564_KHB_ERZ1746164,ERS433565_KHA_ERZ1746217
K00003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
K00008,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1
K00009,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
K00010,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
K00012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00021,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
K00024,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
K00029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
K00041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
