"prova","config","dif_sim"
1,"1",6
1,"5",6
1,"max_diam",8
2,"1",6
2,"5",4
2,"max_diam",4
3,"1",8
3,"5",8
3,"max_diam",8
4,"1",8
4,"5",8
4,"max_diam",8
5,"1",8
5,"5",8
5,"max_diam",6
6,"1",8
6,"5",6
6,"max_diam",4
7,"1",6
7,"5",6
7,"max_diam",4
8,"1",6
8,"5",6
8,"max_diam",6
9,"1",8
9,"5",6
9,"max_diam",6
10,"1",8
10,"5",6
10,"max_diam",6
11,"1",8
11,"5",8
11,"max_diam",6
12,"1",8
12,"5",8
12,"max_diam",6
13,"1",6
13,"5",6
13,"max_diam",6
14,"1",8
14,"5",8
14,"max_diam",6
15,"1",8
15,"5",8
15,"max_diam",6
16,"1",6
16,"5",6
16,"max_diam",6
17,"1",8
17,"5",8
17,"max_diam",8
18,"1",8
18,"5",6
18,"max_diam",4
19,"1",8
19,"5",6
19,"max_diam",6
20,"1",6
20,"5",6
20,"max_diam",6
21,"1",8
21,"5",6
21,"max_diam",6
22,"1",6
22,"5",6
22,"max_diam",6
23,"1",8
23,"5",8
23,"max_diam",8
24,"1",6
24,"5",6
24,"max_diam",4
25,"1",8
25,"5",8
25,"max_diam",6
26,"1",8
26,"5",8
26,"max_diam",4
27,"1",6
27,"5",6
27,"max_diam",6
28,"1",8
28,"5",6
28,"max_diam",6
29,"1",8
29,"5",6
29,"max_diam",6
30,"1",6
30,"5",6
30,"max_diam",4
