"","ERS433524_WLB_ERZ1746111","ERS433543_WLA_ERZ1746142","ERS433544_WLB_ERZ1746118","ERS433545_WLA_ERZ1746201","ERS433546_WLB_ERZ1746151","ERS433547_WLA_ERZ1746155","ERS433548_WHB_ERZ1746128","ERS433549_WHA_ERZ1746146","ERS433550_WHB_ERZ1746220","ERS433551_WHA_ERZ1746169","ERS433552_WHB_ERZ1746180","ERS433553_WHA_ERZ1746108","ERS433554_KLB_ERZ1746174","ERS433555_KLA_ERZ1746131","ERS433556_KLB_ERZ1746206","ERS433557_KLA_ERZ1746135","ERS433558_KLB_ERZ1746215","ERS433559_KLA_ERZ1746190","ERS433560_KHB_ERZ1746113","ERS433561_KHA_ERZ1746211","ERS433562_KHB_ERZ1746166","ERS433563_KHA_ERZ1746185","ERS433564_KHB_ERZ1746164","ERS433565_KHA_ERZ1746217"
"ERS433524_WLB_ERZ1746111",1,0.992080868661029,0.979024378206518,0.977023827532322,0.92364649546408,0.940680752085687,0.970839014319899,0.953655137715519,0.914874953100455,0.902731103428517,0.944099581679153,0.938690153224546,0.868424148994666,0.826623364174754,0.944298358126984,0.947571852667122,0.910272466352574,0.90650953450296,0.94869605789306,0.915892540359512,0.914071113734829,0.89803051848991,0.917754744496516,0.930355639134176
"ERS433543_WLA_ERZ1746142",0.992080868661029,1,0.983748214397785,0.978951196319931,0.925117073531234,0.941965589262848,0.974969354586901,0.956585957217939,0.914939096317978,0.898647655015808,0.948644837207655,0.941459212143704,0.864958612152239,0.824308338227465,0.941817150141549,0.945805948620404,0.908889155180093,0.90358174141419,0.945459213944655,0.917929027808569,0.913035127328972,0.896367293910777,0.918148415661077,0.932859662482644
"ERS433544_WLB_ERZ1746118",0.979024378206518,0.983748214397785,1,0.989627453346883,0.929972723793056,0.94104677297651,0.981727640276215,0.96104885520162,0.918409342575579,0.901942964754653,0.946200127293503,0.945737174914901,0.866983607179085,0.827630420806823,0.940521414752446,0.945227001707972,0.906266294960183,0.908018836347468,0.94266810817003,0.915649947569011,0.906123260829723,0.889444698014376,0.924598708331453,0.934612526893207
"ERS433545_WLA_ERZ1746201",0.977023827532322,0.978951196319931,0.989627453346883,1,0.927142837781806,0.93918581458778,0.976500935888624,0.958020602391779,0.915757299003203,0.902909386556692,0.944082366995742,0.942812285648133,0.867105359541104,0.828852972348422,0.93942428519284,0.944941735085106,0.904136601751189,0.906282622721114,0.942657135306168,0.914071514076515,0.904827479059432,0.89145652019719,0.921676126192589,0.930770504979226
"ERS433546_WLB_ERZ1746151",0.92364649546408,0.925117073531234,0.929972723793056,0.927142837781806,1,0.948637005994989,0.933106207505095,0.923837052120847,0.937808478944004,0.922373747101273,0.944372622440753,0.940346369857235,0.909416067328804,0.865607357222397,0.913421248453661,0.91994820728622,0.929578275920276,0.938867926197674,0.915027761970399,0.93826930059828,0.937463302281954,0.929319597478529,0.946681812151368,0.941122252052089
"ERS433547_WLA_ERZ1746155",0.940680752085687,0.941965589262848,0.94104677297651,0.93918581458778,0.948637005994989,1,0.946593290730146,0.932224766925962,0.944627831256911,0.921266065788597,0.968916852909073,0.965964041653686,0.904670023887232,0.855703604248036,0.916100990696969,0.915100976502294,0.929958686584968,0.935449642444245,0.916632454844015,0.948074213535457,0.932362184366599,0.922856524778657,0.942471330336656,0.952544771377294
"ERS433548_WHB_ERZ1746128",0.970839014319899,0.974969354586901,0.981727640276215,0.976500935888624,0.933106207505095,0.946593290730146,1,0.967540966948657,0.921386976706796,0.903494156075335,0.940638282974761,0.942336667577685,0.877028936950181,0.834491413912591,0.946818355327507,0.950075203633035,0.90590516077214,0.911209030251947,0.94632557390026,0.916231619180894,0.903852994778537,0.890027076363523,0.924977256064704,0.932914118509131
"ERS433549_WHA_ERZ1746146",0.953655137715519,0.956585957217939,0.96104885520162,0.958020602391779,0.923837052120847,0.932224766925962,0.967540966948657,1,0.915088421238777,0.890690897529016,0.928724995550649,0.931035666077173,0.87604099453813,0.835690784009409,0.940163349111769,0.934829588347563,0.898864830933078,0.90664244201255,0.929073325031699,0.902904926477801,0.900111221335979,0.896172811507014,0.912668383464478,0.917726439182253
"ERS433550_WHB_ERZ1746220",0.914874953100455,0.914939096317978,0.918409342575579,0.915757299003203,0.937808478944004,0.944627831256911,0.921386976706796,0.915088421238777,1,0.945851654366036,0.945623631585457,0.945875152719218,0.91044278119431,0.873736389810563,0.916990732308699,0.922441433565977,0.93336012845244,0.928870079436851,0.918955630379281,0.946829190761916,0.936806005160232,0.941076517273618,0.943128342812974,0.939343934124442
"ERS433551_WHA_ERZ1746169",0.902731103428517,0.898647655015808,0.901942964754653,0.902909386556692,0.922373747101273,0.921266065788597,0.903494156075335,0.890690897529016,0.945851654366036,1,0.916185224876068,0.919399950578812,0.913191104560741,0.885487918329045,0.90169539464467,0.915568192401903,0.936834070913737,0.926621062145103,0.907959261531726,0.921048134989009,0.931497202943844,0.930077109733327,0.940163898768657,0.918916035755448
"ERS433552_WHB_ERZ1746180",0.944099581679153,0.948644837207655,0.946200127293503,0.944082366995742,0.944372622440753,0.968916852909073,0.940638282974761,0.928724995550649,0.945623631585457,0.916185224876068,1,0.978815844169739,0.899008106705131,0.849293783817452,0.929806370987204,0.922194031160237,0.920737305062408,0.922526220400002,0.917674035493866,0.945909362111199,0.931980886176621,0.923962888998456,0.944994883764489,0.962590131231469
"ERS433553_WHA_ERZ1746108",0.938690153224546,0.941459212143704,0.945737174914901,0.942812285648133,0.940346369857235,0.965964041653686,0.942336667577685,0.931035666077173,0.945875152719218,0.919399950578812,0.978815844169739,1,0.899075413999748,0.852764525667896,0.926630714065952,0.913208101521007,0.916652139584002,0.925784927226021,0.915918122061274,0.940877722477463,0.924379802072687,0.919340687190804,0.934961328450696,0.960722416343088
"ERS433554_KLB_ERZ1746174",0.868424148994666,0.864958612152239,0.866983607179085,0.867105359541104,0.909416067328804,0.904670023887232,0.877028936950181,0.87604099453813,0.91044278119431,0.913191104560741,0.899008106705131,0.899075413999748,1,0.927323259262556,0.893005328490439,0.892755149429649,0.905171404291865,0.902527923092543,0.890646207549586,0.900968358640799,0.913727503729473,0.921598746767189,0.920631658068869,0.898995848461302
"ERS433555_KLA_ERZ1746131",0.826623364174754,0.824308338227465,0.827630420806823,0.828852972348422,0.865607357222397,0.855703604248036,0.834491413912591,0.835690784009409,0.873736389810563,0.885487918329045,0.849293783817452,0.852764525667896,0.927323259262556,1,0.856551337894831,0.855745742410313,0.873076114001557,0.872510367475173,0.855637680307,0.871393536130815,0.875156531371098,0.886829242814281,0.878277900765959,0.860416405607357
"ERS433556_KLB_ERZ1746206",0.944298358126984,0.941817150141549,0.940521414752446,0.93942428519284,0.913421248453661,0.916100990696969,0.946818355327507,0.940163349111769,0.916990732308699,0.90169539464467,0.929806370987204,0.926630714065952,0.893005328490439,0.856551337894831,1,0.970408472819745,0.907982433172746,0.89790818162597,0.949520108327793,0.914982039921996,0.910098372955755,0.906396705765006,0.934892873040144,0.916448702275197
"ERS433557_KLA_ERZ1746135",0.947571852667122,0.945805948620404,0.945227001707972,0.944941735085106,0.91994820728622,0.915100976502294,0.950075203633035,0.934829588347563,0.922441433565977,0.915568192401903,0.922194031160237,0.913208101521007,0.892755149429649,0.855745742410313,0.970408472819745,1,0.918519622817136,0.900370474364674,0.956589394955759,0.90886150668613,0.918924520859888,0.908080376956418,0.94099510083925,0.910393654443468
"ERS433558_KLB_ERZ1746215",0.910272466352574,0.908889155180093,0.906266294960183,0.904136601751189,0.929578275920276,0.929958686584968,0.90590516077214,0.898864830933078,0.93336012845244,0.936834070913737,0.920737305062408,0.916652139584002,0.905171404291865,0.873076114001557,0.907982433172746,0.918519622817136,1,0.954751236626263,0.922109562655554,0.930594336139292,0.950433082003364,0.952088698459784,0.946114723201995,0.919872547196233
"ERS433559_KLA_ERZ1746190",0.90650953450296,0.90358174141419,0.908018836347468,0.906282622721114,0.938867926197674,0.935449642444245,0.911209030251947,0.90664244201255,0.928870079436851,0.926621062145103,0.922526220400002,0.925784927226021,0.902527923092543,0.872510367475173,0.89790818162597,0.900370474364674,0.954751236626263,1,0.905379039932779,0.927326050371795,0.922874564726791,0.925666350731317,0.928317974990472,0.925782539489607
"ERS433560_KHB_ERZ1746113",0.94869605789306,0.945459213944655,0.94266810817003,0.942657135306168,0.915027761970399,0.916632454844015,0.94632557390026,0.929073325031699,0.918955630379281,0.907959261531726,0.917674035493866,0.915918122061274,0.890646207549586,0.855637680307,0.949520108327793,0.956589394955759,0.922109562655554,0.905379039932779,1,0.932340478480168,0.921339105500997,0.919779579648364,0.921019285028273,0.909844168424921
"ERS433561_KHA_ERZ1746211",0.915892540359512,0.917929027808569,0.915649947569011,0.914071514076515,0.93826930059828,0.948074213535457,0.916231619180894,0.902904926477801,0.946829190761916,0.921048134989009,0.945909362111199,0.940877722477463,0.900968358640799,0.871393536130815,0.914982039921996,0.90886150668613,0.930594336139292,0.927326050371795,0.932340478480168,1,0.934130079068026,0.924899473834123,0.93162668822243,0.945165293374112
"ERS433562_KHB_ERZ1746166",0.914071113734829,0.913035127328972,0.906123260829723,0.904827479059432,0.937463302281954,0.932362184366599,0.903852994778537,0.900111221335979,0.936806005160232,0.931497202943844,0.931980886176621,0.924379802072687,0.913727503729473,0.875156531371098,0.910098372955755,0.918924520859888,0.950433082003364,0.922874564726791,0.921339105500997,0.934130079068026,1,0.974734410217004,0.945683349004817,0.917889399846149
"ERS433563_KHA_ERZ1746185",0.89803051848991,0.896367293910777,0.889444698014376,0.89145652019719,0.929319597478529,0.922856524778657,0.890027076363523,0.896172811507014,0.941076517273618,0.930077109733327,0.923962888998456,0.919340687190804,0.921598746767189,0.886829242814281,0.906396705765006,0.908080376956418,0.952088698459784,0.925666350731317,0.919779579648364,0.924899473834123,0.974734410217004,1,0.937554232191159,0.910005965458846
"ERS433564_KHB_ERZ1746164",0.917754744496516,0.918148415661077,0.924598708331453,0.921676126192589,0.946681812151368,0.942471330336656,0.924977256064704,0.912668383464478,0.943128342812974,0.940163898768657,0.944994883764489,0.934961328450696,0.920631658068869,0.878277900765959,0.934892873040144,0.94099510083925,0.946114723201995,0.928317974990472,0.921019285028273,0.93162668822243,0.945683349004817,0.937554232191159,1,0.941256179514722
"ERS433565_KHA_ERZ1746217",0.930355639134176,0.932859662482644,0.934612526893207,0.930770504979226,0.941122252052089,0.952544771377294,0.932914118509131,0.917726439182253,0.939343934124442,0.918916035755448,0.962590131231469,0.960722416343088,0.898995848461302,0.860416405607357,0.916448702275197,0.910393654443468,0.919872547196233,0.925782539489607,0.909844168424921,0.945165293374112,0.917889399846149,0.910005965458846,0.941256179514722,1
