"config","metrica","mitjana","sd"
"1","RF",0.898522167487685,0.0741924148970897
"1","wRF",0.372390121628052,0.0270412124438394
"1","nodal",0.770400672452578,0.0795096132009531
"1","w_nodal",0.54195251721125,0.113023072863108
"5","RF",0.851340996168582,0.0917891671328414
"5","wRF",0.371079470880196,0.0369238314854925
"5","nodal",0.70606654819105,0.0802372361180988
"5","w_nodal",0.579938408282851,0.143264449346894
"max_diam","RF",0.764532019704434,0.11011413791566
"max_diam","wRF",0.342023951426229,0.0511284529127028
"max_diam","nodal",0.612364997797077,0.0957722231668072
"max_diam","w_nodal",0.52094712001431,0.183480071310019
