"prova","config","dif_sim"
1,"1",6
1,"5",6
1,"max_diam",6
2,"1",6
2,"5",6
2,"max_diam",6
3,"1",6
3,"5",6
3,"max_diam",0
4,"1",6
4,"5",6
4,"max_diam",0
5,"1",4
5,"5",4
5,"max_diam",6
6,"1",6
6,"5",6
6,"max_diam",0
7,"1",10
7,"5",10
7,"max_diam",6
8,"1",6
8,"5",6
8,"max_diam",0
9,"1",10
9,"5",6
9,"max_diam",6
10,"1",10
10,"5",6
10,"max_diam",6
11,"1",6
11,"5",6
11,"max_diam",0
12,"1",6
12,"5",6
12,"max_diam",6
13,"1",0
13,"5",0
13,"max_diam",0
14,"1",4
14,"5",0
14,"max_diam",0
15,"1",10
15,"5",4
15,"max_diam",4
16,"1",6
16,"5",6
16,"max_diam",6
17,"1",6
17,"5",6
17,"max_diam",6
18,"1",8
18,"5",8
18,"max_diam",6
19,"1",4
19,"5",0
19,"max_diam",0
20,"1",14
20,"5",10
20,"max_diam",0
21,"1",6
21,"5",6
21,"max_diam",0
22,"1",6
22,"5",6
22,"max_diam",0
23,"1",6
23,"5",6
23,"max_diam",6
24,"1",6
24,"5",6
24,"max_diam",6
25,"1",8
25,"5",8
25,"max_diam",0
26,"1",6
26,"5",6
26,"max_diam",0
27,"1",12
27,"5",6
27,"max_diam",0
28,"1",10
28,"5",6
28,"max_diam",6
29,"1",4
29,"5",4
29,"max_diam",0
30,"1",4
30,"5",0
30,"max_diam",0
