"","mmu","rno","hsa","dme","der","dse","osa","dosa","obr","ath","aly","crb","sce","seub","spao","cne","cnb","cng","mja","mfe","mvu","sru","rmr","rmg"
"mmu",1,0.996751978768522,0.983276679331879,0.780904447890976,0.777565643927758,0.772109330198535,0.581462101968688,0.564612614957949,0.580270807716629,0.571085026347742,0.576005916911459,0.574796591058479,0.569307246060006,0.559161585029283,0.566665990244535,0.595687776843099,0.594343477476093,0.593042780710435,0.243938234564433,0.244832330052536,0.246837705787799,0.444104386064475,0.431232995269847,0.434974762880921
"rno",0.996751978768522,1,0.986507235681272,0.779890285842432,0.776555817990087,0.77110659038558,0.580706956063097,0.563879351512253,0.579517208947083,0.570343357169422,0.575257856963477,0.574050101664215,0.568567885688229,0.558435400846222,0.565930060076563,0.594914156027278,0.593571602504343,0.592272594955976,0.243621431528733,0.244514365853374,0.246517137203466,0.443527626878182,0.430672952182548,0.434409860353116
"hsa",0.983276679331879,0.986507235681272,1,0.770640680898709,0.767318408573239,0.761888872915631,0.572388469997943,0.556950225180288,0.571192303943893,0.562175620765631,0.567010470867321,0.565808403756199,0.562401752612074,0.552315603574612,0.559779728978725,0.586545293517618,0.585216224666109,0.58392196073622,0.241746190573735,0.242632251664748,0.244619606970219,0.438266360171304,0.425087144370969,0.428770706493572
"dme",0.780904447890976,0.779890285842432,0.770640680898709,1,0.98655090085799,0.989116027301104,0.651053242283631,0.643551464532375,0.649226297704828,0.636865155667575,0.642151605994039,0.644524087432645,0.656394110601173,0.648340913030397,0.652917792506519,0.684056991766893,0.68241950151349,0.683901783507351,0.276200616987891,0.277212962288746,0.280344585678454,0.517382593492422,0.507063443276523,0.511386345478775
"der",0.777565643927758,0.776555817990087,0.767318408573239,0.98655090085799,1,0.991650365773348,0.652415972757159,0.644806729765509,0.65147213921264,0.638193703982444,0.64437327869209,0.645868612851615,0.657976419879299,0.651031135843476,0.654482805892717,0.685821301476933,0.684177909615057,0.685664852633041,0.27734668256215,0.278363228483956,0.281507846217404,0.517173275967291,0.506850419514892,0.511166176571322
"dse",0.772109330198535,0.77110659038558,0.761888872915631,0.989116027301104,0.991650365773348,1,0.654173605453885,0.646358704676829,0.652310191248278,0.63990397193141,0.645204652094264,0.647599448459849,0.6584458580404,0.650212574129931,0.654918278527297,0.68671767186068,0.68506620896235,0.686558052867964,0.277639627555669,0.278657247195162,0.281854815879098,0.517738228011969,0.507394131279221,0.511707780532025
"osa",0.581462101968688,0.580706956063097,0.572388469997943,0.651053242283631,0.652415972757159,0.654173605453885,1,0.946054521202728,0.987890344023553,0.94808677698439,0.955921176683114,0.945786914946118,0.656550446755399,0.651709444146132,0.65378138790302,0.671372777934124,0.670814618399144,0.671284295484398,0.346611957484172,0.343773531216367,0.349119114287996,0.553275146246445,0.563487060026713,0.561543389125705
"dosa",0.564612614957949,0.563879351512253,0.556950225180288,0.643551464532375,0.644806729765509,0.646358704676829,0.946054521202728,1,0.934431736002539,0.902768116490711,0.90994902989791,0.900751172626325,0.645823123514853,0.64301646283539,0.644332612175847,0.662865011342298,0.662313924913647,0.662745495998089,0.341133840755419,0.339488756294384,0.344188104455969,0.540454117232828,0.551984866395568,0.549458022623273
"obr",0.580270807716629,0.579517208947083,0.571192303943893,0.649226297704828,0.65147213921264,0.652310191248278,0.987890344023553,0.934431736002539,1,0.950791297540542,0.960171977983214,0.946175671209248,0.655272219247857,0.65134330273339,0.652482052008258,0.671775241756446,0.671216747624909,0.671685115498487,0.347329776211479,0.344477350664519,0.349858048859996,0.552975573688039,0.563270965480931,0.561292399413835
"ath",0.571085026347742,0.570343357169422,0.562175620765631,0.636865155667575,0.638193703982444,0.63990397193141,0.94808677698439,0.902768116490711,0.950791297540542,1,0.988677199672692,0.986249023389763,0.644442023065881,0.639690300588803,0.641724032547964,0.658538389876371,0.657990900473254,0.658904142967538,0.341559017770496,0.337433492016363,0.342680489236717,0.542078558167897,0.553094956723635,0.551187131949758
