"config","metrica","mitjana","sd"
"1","RF",0.310454296661193,0.0836293344225792
"1","wRF",0.161460525262077,0.0294438731443241
"1","nodal",0.653512682207265,0.118603505361447
"1","w_nodal",0.589212113545869,0.158666788809303
"5","RF",0.298850574712644,0.0786821209664295
"5","wRF",0.147780533426668,0.0287092901884986
"5","nodal",0.643820537866057,0.117367685566127
"5","w_nodal",0.452146056424964,0.127189374777261
"max_diam","RF",0.195183360700602,0.0684496755640732
"max_diam","wRF",0.103877723464537,0.0178796156076634
"max_diam","nodal",0.475026925462616,0.103728539429245
"max_diam","w_nodal",0.346190909779437,0.100723650161699
