"A01T1_MTG"	"A01T4_MTG"	"A01T5_MTG"	"A01T6_MTG"	"A01T7_MTG"	"A01T8_MTG"	"A02T1_MTG"	"A02T4_MTG"	"A02T5_MTG"	"A02T6_MTG"	"A02T7_MTG"	"A02T8_MTG"	"A03T1_MTG"	"A03T4_MTG"	"A03T5_MTG"	"A03T6_MTG"	"A03T7_MTG"	"A04T1_MTG"	"A04T4_MTG"	"A04T5_MTG"	"A04T6_MTG"	"A04T7_MTG"	"A04T8_MTG"	"A05T1_MTG"	"A05T4_MTG"	"A05T5_MTG"	"A05T6_MTG"	"A05T7_MTG"	"A05T8_MTG"	"A06T1_MTG"	"A06T4_MTG"	"A07T1_MTG"	"A07T4_MTG"	"A07T5_MTG"	"A07T6_MTG"	"A07T7_MTG"	"A07T8_MTG"	"A08T1_MTG"	"A08T4_MTG"	"A08T5_MTG"	"A08T6_MTG"	"A08T7_MTG"	"A08T8_MTG"	"A09T1_MTG"	"A09T4_MTG"	"A09T5_MTG"	"A09T6_MTG"	"A09T7_MTG"	"A09T8_MTG"	"A10T1_MTG"	"A10T4_MTG"	"E01T1_MTG"	"E01T4_MTG"	"E01T5_MTG"	"E01T6_MTG"	"E01T7_MTG"	"E01T8_MTG"	"E02T1_MTG"	"E02T4_MTG"	"E02T5_MTG"	"E02T6_MTG"	"E02T7_MTG"	"E02T8_MTG"	"E03T1_MTG"	"E03T4_MTG"	"E03T5_MTG"	"E03T6_MTG"	"E03T7_MTG"	"E03T8_MTG"	"E04T4_MTG"	"E04T5_MTG"	"E04T7_MTG"	"E04T8_MTG"	"E05T1_MTG"	"E05T5_MTG"	"E05T6_MTG"	"E05T7_MTG"	"E05T8_MTG"	"E06T1_MTG"	"E06T4_MTG"	"E06T5_MTG"	"E06T6_MTG"	"E06T7_MTG"	"E07T1_MTG"	"E07T4_MTG"	"E07T6_MTG"	"E07T7_MTG"	"E09T1_MTG"	"E09T4_MTG"	"E09T5_MTG"	"E09T6_MTG"	"E09T7_MTG"	"E09T8_MTG"	"E10T1_MTG"	"E10T4_MTG"	"E10T5_MTG"	"E10T6_MTG"	"E10T7_MTG"	"E10T8_MTG"	"I01T1_MTG"	"I01T4_MTG"	"I01T5_MTG"	"I01T6_MTG"	"I01T7_MTG"	"I01T8_MTG"	"I02T1_MTG"	"I02T4_MTG"	"I02T5_MTG"	"I02T6_MTG"	"I02T7_MTG"	"I02T8_MTG"	"I03T1_MTG"	"I03T4_MTG"	"I03T5_MTG"	"I03T6_MTG"	"I03T7_MTG"	"I03T8_MTG"	"I04T1_MTG"	"I05T1_MTG"	"I05T4_MTG"	"I05T5_MTG"	"I05T6_MTG"	"I05T7_MTG"	"I05T8_MTG"	"I06T1_MTG"	"I06T4_MTG"	"I06T5_MTG"	"I06T6_MTG"	"I06T7_MTG"	"I06T8_MTG"	"I07T1_MTG"	"I07T4_MTG"	"I07T5_MTG"	"I07T7_MTG"	"I07T8_MTG"	"I08T1_MTG"	"I08T4_MTG"	"I08T6_MTG"	"I08T7_MTG"	"I08T8_MTG"	"I09T1_MTG"	"I09T4_MTG"	"I09T5_MTG"	"I09T6_MTG"	"I09T7_MTG"	"I09T8_MTG"	"I10T1_MTG"	"I10T4_MTG"	"I10T5_MTG"	"I10T6_MTG"	"I10T7_MTG"	"I10T8_MTG"	"E04T1_MTG"	"E04T6_MTG"	"I08T5_MTG"	"I07T6_MTG"
"K00001"	547.322077674342	287.533453644005	210.224352077372	178.147864546668	259.055101459552	242.77347581966	241.417582011384	153.369609726429	171.390477886443	266.786125839555	58.2097412224118	182.93865091233	193.090974825881	131.772212650407	159.905134910314	117.672855092962	138.109399063543	106.382753752256	214.190734491499	162.990541258855	211.05810492019	253.212192873306	314.383156069004	292.957298045287	129.749461562849	245.870959590115	105.765308336264	323.397017777516	174.834596519318	314.109668743036	203.069683377251	287.476282964554	155.919886720503	128.257043420479	218.021561420596	286.350389268945	172.059016286037	239.47204702387	250.616562308041	477.78257023468	156.168808395782	277.922704747395	270.737850314332	197.44324076874	155.59098413555	252.393618703421	197.703718567357	214.503333465131	124.440710837191	265.517274277235	116.987195777012	598.638458602792	264.928369809633	254.105579067204	272.336923754414	288.39010842798	584.450085901592	244.662489871119	290.104870005453	244.830065348455	307.579379230198	270.28366649013	208.747095383028	430.378801848955	324.877390965323	504.903865627713	247.699824309465	453.115381694627	330.787351422475	245.102831993407	247.230610982647	371.288536408538	359.240263530837	130.627743333027	111.482682456757	115.684731608016	196.74631843225	343.878973077008	352.552600964775	324.188036113066	185.565142784111	445.50330793313	104.232003904073	137.025305263453	455.212675093406	205.650646041632	241.119780556019	189.030408718288	131.112260133496	77.7620146931309	185.903701488915	161.820608639623	313.77564125112	253.133385745641	180.270813737161	413.738542632862	250.054540219074	207.872313428726	258.60153975852	187.628945319797	304.359416611624	178.203159652702	94.241445227284	216.379221505921	205.001596737268	255.32164841959	302.570133036703	276.539098653191	367.169512389966	353.795644564587	254.513143017854	144.832321613858	432.604594652527	304.054908483379	366.696679595461	125.228393269311	85.5340213912578	573.581224257629	566.131694308532	248.65390424158	365.408417246945	227.437230982951	370.499249278217	251.136500992375	264.413915062281	188.116710380842	128.965275138269	188.42230127425	183.878275927311	220.075256241869	219.378310986163	330.350629453045	237.60426842132	294.785907960416	201.493448224717	250.245494612315	196.185214150134	190.822025152489	190.412454906201	370.486572025483	451.998464639988	195.706115833339	346.226131138808	538.592540035885	371.448581912039	149.011068003988	244.481977018239	159.946279952991	150.640104287059	96.9370694112014	166.905366571975	268.064367704916	363.096801764861	132.372051420368	262.67970988217	286.821498904102
"K00002"	97.6383867900403	51.6642827235405	97.5867356359718	21.0427723024504	65.9389060592297	72.3958905868358	228.929784626764	122.192670571166	255.27557675573	58.2869865396532	25.0856265744203	115.125739484347	39.7666838501889	83.1583126055783	51.7458504169007	43.3298804322485	41.6924568601596	54.6474293995693	34.689276070185	98.3702234212269	37.6647403115824	33.6585530380209	23.046695998869	60.8992469617825	97.5672685196285	95.8484888317601	91.9379038218469	28.6356784431268	143.350567408949	78.0201684992929	63.5123957961407	147.521465302887	65.4653534511644	156.616365745	25.4532921521343	133.235234984089	90.4785028482919	151.624441258538	136.854659478364	191.845299905363	138.524017618755	100.946712601412	32.0431998486381	42.5767714903493	111.056482151757	146.166808452218	55.3062937202973	80.1862493278195	66.6348730096734	108.043805802064	81.1459163171047	108.702184441493	127.93862646266	76.1614853009871	17.103016560259	55.9302028466386	32.6128798559023	60.5963618427011	81.0032584404448	80.6260823847004	68.6712920514357	60.1572361999575	48.9494756719962	50.1564523488975	10.682931561437	115.257273483724	174.969638764075	63.7837796707889	50.4674304922768	55.2559435635219	108.150024685077	69.7613470085163	36.5784075754418	142.260479138354	35.5511431427799	66.2445862395189	106.443004804276	30.2814904435923	23.5950456752382	86.328086449842	59.2944106899098	62.9532110453039	59.1489919454055	102.80258554633	55.3128203384648	25.4637208063095	57.5828676994848	87.9403470139616	83.9760380425627	50.9747260814565	125.186994736689	83.1707423922001	69.7845125193002	75.2936113748829	49.269586038974	113.432487340722	44.4039516592847	125.433213591506	119.74509580154	31.3780680749008	104.889371646662	91.2965024646228	3.77217091429742	167.812055694883	79.2306850369825	41.712954743938	74.2518156226312	78.3539057622559	56.1608969263473	27.0055537104156	101.511560788887	106.388923535293	51.8455856121013	74.1181041196194	36.774568881013	54.9249660072547	97.1486481377663	60.5950484997992	33.756920902869	83.2332383090462	116.388187452184	40.4705785325146	83.118783720447	90.5880033206796	122.408191987418	157.887933052288	27.0295597843717	59.043931044877	101.612024159204	114.782503490608	44.3067126876198	18.5076336249524	102.609762542354	195.087885599657	31.476976798003	63.0372410364248	27.1564003967703	49.8932017745644	132.239582000283	34.088190382423	25.4156009525158	26.0306526585941	97.1627520079213	11.6426120433972	112.89382139092	38.7873753555195	88.5651863756311	77.5592503520416	68.5583124013063	47.1776247047584	74.071099929246	52.8891293588478	147.959820859686	291.770063339062	148.030840487188	76.6027063435223
"K00003"	898.872881657227	598.020137849738	562.943227514605	432.437463891604	580.402124293955	650.641427245737	886.378008563227	938.495086762607	748.396178696525	613.680570501128	648.334725953217	909.963487728933	686.835480159358	564.723600806918	577.416360250622	483.083147126534	450.351215076327	534.825110201032	496.485197878617	494.064328143271	562.350285562546	586.298956129826	390.084795156719	596.201111573116	538.726580053374	542.667224804035	645.316850725274	629.781320835437	493.353362536067	938.341103617591	606.643940531843	555.067587345893	556.720424528749	455.651453726229	667.965599264226	598.145700404853	575.326633355367	812.396878170516	576.153450640668	616.101261270271	704.84972941666	797.465133837859	479.343781660463	630.025094613028	474.893211658549	516.936279330196	451.966448005902	482.783333013467	470.262831706142	742.685750179365	700.268370967898	637.492693058497	711.95124972549	613.870306793991	693.172433086988	540.703551375214	728.488850923922	815.846531406244	382.3391347563	469.498519415876	451.387849889411	470.843607500948	595.872281950736	408.315596805807	343.14097847153	489.003588508497	455.087007667313	305.859776061313	391.912312775573	502.602359497647	566.268950653717	740.178782338831	458.003812767999	723.974518394843	440.612831420116	372.128648264268	420.162099712563	701.428076139276	578.98674324867	565.215943234302	466.071136009481	522.156332938834	610.636853354166	729.055220082003	621.200507934028	741.242702008058	543.719374471765	451.783488402036	577.272499195536	718.890163554355	520.905437933746	535.074148437446	483.289787843364	538.871493896323	309.803625063483	543.470834518978	755.368810151367	470.058466647091	527.169185022996	456.214888572849	694.605256999125	708.965946782525	626.549771016372	701.413383460986	489.442362686112	661.120957371175	509.193468044281	698.752645115796	719.13229396666	598.148325219964	555.672539779174	539.233560336831	609.16431948741	432.099579160061	780.671638560289	608.478735258118	689.233629899732	662.665324251752	496.401302947764	655.160554988915	655.602492449433	586.722277797543	663.574193333704	642.096521353194	577.474277404839	533.767292860209	440.891091513048	578.098119485564	422.808664017537	447.409765442169	714.271227741645	279.57981890253	786.673455631126	708.462921880989	565.666629356074	551.128061399409	492.333350280037	435.734928984843	544.690868975491	506.455372119261	633.354723022845	568.582035938163	579.13826679456	667.3966231107	558.828391170329	524.762345251468	726.0153700038	586.953116897873	675.121599340225	622.300712843453	482.906705640889	608.98156580247	660.027692759916	436.384774323157	508.091209803352	669.714772674925
"K00004"	0	0	6.37364581612878	6.64467261009257	0	7.49777153465453	10.3967587538133	0	12.1056296331331	4.7411907192653	0	4.49850804032093	0	16.8808751298705	20.4374367192801	0	0	7.7570333413194	9.37820544920699	0	15.7604232509458	7.18096671806929	46.9072659160653	0	0	40.7955535629432	0	0	9.93218096689668	0	0	23.6448836468867	8.13010527923568	3.98892098042435	6.10032279150195	15.6342535844271	11.2886061285436	87.1675368999931	10.6875470576833	5.9783876833076	14.9183011790846	0	28.69582986445	25.7888802734072	39.4917755268774	87.7626372327548	18.4230459990913	38.1306375747782	31.8540630537694	0	13.7463328371201	0	0	6.52712545035426	6.2884295695317	16.4994098397584	4.08614591177021	18.4405508751018	72.9646624292508	5.29413958637956	24.694296145308	6.36405944972501	6.9797116178494	43.7729038681287	57.3537918637622	41.8013432938292	31.6830737696997	40.3988631596634	22.877343464747	47.0568050173615	43.2996868779428	60.4628937822496	38.4684772677898	106.596567354364	44.8187984025127	9.29980551998568	107.617335178454	115.527703036898	92.1646854544516	28.4793687257211	13.6879234354731	11.6906267203523	5.24456414330741	8.06325809481578	8.93384455480635	0	22.5638196314596	17.3717849281897	39.8087671708856	27.2533277554811	35.5709153224328	4.07477191447166	37.1185540899374	0	41.8964965789163	13.5290880657639	19.0174758402524	18.1069541674192	76.5859070780482	0	2.6043612239434	0	0	9.00932606117389	6.65870786515598	0	0	4.62357137084978	0	41.0233618552913	0	11.9144380770749	23.1774970401321	0	41.4671570976006	0	7.09868133209219	0	0	34.4196464186578	13.5823143448312	13.6148658128295	12.9775914717737	6.96576105156485	0	44.5547693609383	0	22.6020527515777	33.6509985121489	35.7812562152838	25.3210792602612	2.65851177917749	18.2104358561829	51.5018176509145	27.1201324200523	0	24.3916085011716	15.3039074751333	53.8690992069407	19.7910920800974	14.0760495721802	5.85747997212315	20.5268960535825	0	64.028206924355	0	0	38.541713365125	3.25120662954993	13.3568032341932	1.89346854884799	31.9146524984878	38.5707225317984	15.6650944628826	0	11.053537026462
"K00005"	131.935997222764	255.883051227864	165.762533884638	145.414325875939	253.4605408924	201.600354914989	179.586552762171	297.241195724223	105.571178425615	122.533961727705	80.7448203169612	470.304752635696	183.443087854723	273.100955442646	151.767140351205	169.215179535124	132.586495875185	449.751876672349	124.603684760531	203.758540562719	311.00118041562	202.460189848674	175.801520569182	380.664261970152	359.615170924541	198.383407031428	210.497728318943	87.6026673810196	203.884217335542	350.435652904895	174.679459270291	40.8459643043762	137.803739814531	101.271868014938	130.50214346473	120.399187877584	123.906032514002	219.465319686499	385.89825084907	444.900602596017	259.690018593608	487.628340089056	116.72879944861	621.598816436679	279.729995595053	78.4116411654688	141.689310212677	100.33825381606	106.573054508647	435.577341079707	225.78316724815	180.690604314671	109.819697802952	244.266268070789	136.485428120686	229.08976711252	103.787281507922	323.420566351165	168.863935584843	185.842792414678	149.761702947589	223.442149935806	197.748228537481	264.921798518579	75.4051792194511	93.0987601198869	261.59477393002	109.931033571109	148.705997913871	68.1465334706352	73.4025621926223	133.756999752973	148.756326135412	312.55166353903	95.7696676975696	79.6344296370383	90.4203112693152	218.885794383676	145.730827297032	115.030472198467	130.343765068345	163.190919463017	186.913805056218	107.510107930877	196.487127829181	134.451856177065	148.579647160368	153.084858103385	115.992911337079	136.507375346295	157.571717904718	207.308230623864	118.869749751173	114.925194879918	78.5582555692995	172.10547839049	247.347456864119	224.323337757927	224.329619869591	144.601218885598	168.335707087843	152.797824063317	11.2914206968991	138.092403751787	272.085139019855	255.553260875584	229.115813660665	142.934449591809	117.307260580137	262.204134450613	247.330258638275	267.27567073828	330.581316202885	145.83012682364	351.314995740994	260.952899252585	188.862165395855	138.760199280794	358.739003313179	117.44814303658	146.450156925935	72.9179984915332	109.648436705057	139.352334906249	114.725096887697	137.050211656004	147.91306704273	189.281996186622	132.532433519887	153.226177662506	265.74915331842	401.146936814241	360.739896995914	185.073727854201	349.968302699576	180.551678107886	82.5873549251286	115.503851609236	160.144721141285	188.465953102447	103.888343419059	186.21396201651	221.191109615049	51.4801563349229	229.333653795641	101.563729846581	492.962458247527	222.869845401671	228.178180874767	227.615296914434	333.507532877106	380.40472125247	168.177933026848	0	152.345249945186	790.084171193507
"K00006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00007"	0	16.2290879716185	0	0	0	24.3745736435678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.775390318389	0	0	0	0	0	0	0	0	0	0	0	0	3.65660489547953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7211507168424	0	0	0	0	0	0	0	0.285710514019108	0	0	0	0	0	19.7978370424834	0	0	0	0	0	0	0	0	0	6.29961510884621	0	19.1818738777479	0	0	0	0	0	0	0	0	0	0	0	0	66.9491076097746	0	0	0	0	0	0	0	0	0	0	0	0	20.0950064808745	0	0	0	0	0	0	0	0	0	0	0
"K00008"	488.762483466505	728.594273437039	575.407241852064	241.901980752427	478.515799813983	617.622043840869	759.56076617771	737.469281851155	685.498965261439	310.08794555847	445.935818554611	1162.07824810146	606.268969055541	343.49569872023	270.538730672485	286.515710167324	317.414480386468	372.372046318978	216.97777341644	237.551031568003	301.486382009521	277.721652077737	133.55838324464	353.085806426336	267.19894035926	329.540458176902	465.020683465078	181.313333606367	223.163757068218	421.38582134903	425.789434361568	408.453718329974	333.642249426757	275.465677705843	600.702373704369	285.606216607948	263.783040469216	549.99263904894	353.893074199337	676.302950883602	479.296831265717	261.629564746424	375.932506997756	268.414602436297	440.340689864839	283.813125785612	322.051720136787	454.301972245787	361.750787927426	489.320650696009	354.731372941292	515.922071622227	270.026986884642	406.567510748658	511.122654651706	457.594846575319	257.027508516796	546.517798045313	289.171116522385	231.246799652163	187.926384811699	276.668962718512	264.638163560354	284.080120278888	192.19219657443	161.541904067992	192.125407703877	226.514038506077	220.385434575422	437.213224672252	380.403336626192	317.386084887888	446.674454035745	301.042089858253	79.8181535877707	150.817400215748	194.072406149723	425.777349542489	336.610325727998	448.14480212464	543.182351802324	501.719981648933	871.989342587843	210.487304450584	456.14270295978	159.246646541777	336.169649684099	314.271801785171	335.011179297983	413.472433559742	321.801293683204	330.835049840814	279.276768194458	360.434314114449	306.109895919133	274.165130162316	696.607257852555	331.307144135993	373.027529853121	402.750156188157	437.857130900261	437.268978327609	710.978773926778	576.692834812341	272.070769691381	538.967009474124	412.871495782675	300.533785768224	165.229858531058	405.673167828399	755.548494650499	278.033814022103	326.203005660061	431.254358844069	524.692271936774	348.997573439168	236.589477542904	644.987789579969	495.849279176476	418.962302480557	413.448417783387	262.379733019881	358.236553277372	373.16915150988	347.20055251712	395.727546256489	359.473872105272	370.01527882918	328.996524877047	611.124533777421	352.600616319398	509.977156829326	832.178980219527	563.725615604418	485.640125179957	469.079178372162	193.720226590386	430.946157272165	597.077508412659	417.950057235313	324.483041899983	500.05028282683	356.74872425419	516.003379687726	732.482687214621	553.461763376649	664.382612877287	315.486644990947	268.369142380963	269.734849707593	367.912263832904	631.975697523138	500.48658637247	656.29458024307	342.451572565452	472.050192205568
"K00009"	20.4080234684101	0	21.5239375305523	56.8827224772274	7.62459119579642	36.0265016127152	15.279629555821	28.9925805607955	54.1111238615692	7.26173337574219	0	25.9975861558591	58.6928372444917	22.6363680887012	68.6011861905906	56.7751458445585	43.473072205229	40.6365191009023	4.84399800980061	17.5721828798013	46.768187904155	31.5764513781322	3.36220733984898	0	6.99634238961826	52.8620361420703	28.6811801157503	32.5528985539957	23.38850144401	20.1126687990071	13.6948070613316	15.8773169495737	6.21474213074406	16.1339011534115	16.9986522729493	11.0453861291544	5.65241769180311	7.56044962908103	45.4573241609115	15.5102558008261	12.1794753715197	8.77660402146803	30.1620401494949	32.439444945028	44.2484191396285	88.7486730450098	39.6552457484357	33.6639057445899	22.0764211597436	17.8582418668832	7.69342084711249	42.7163018371004	19.646091572469	31.5458577737045	7.8066238140277	31.5384919318829	24.3318961432167	63.2881249175826	31.1414655896707	14.2126290118454	32.3742222464987	13.532206534084	23.5221777357444	32.9759421606802	18.4584830143817	65.3958792863462	28.6314061744759	76.6062613593025	51.8521661203961	86.1327535666875	118.886653240057	91.7421323960024	111.94787891978	67.5156246435206	138.494888069264	99.7852279269633	175.434150638538	34.3313457137953	42.9094601132201	22.4344676488331	13.0897365501183	25.4522750616941	43.0555467378029	51.1766530900085	3.78140450215813	0	17.9479068154238	17.3976743245059	63.8116840642249	88.6463537779536	51.2767599657612	56.3847990405883	52.3825705992518	26.9016643881393	84.4205323261412	46.446613831548	4.10472933714761	24.8880445727475	94.5896995748783	10.8531570801238	78.7217324314612	52.170480427392	75.3968770038473	42.9736880263073	18.1558771175867	18.9780873776807	104.927601141551	70.0329697024244	40.0871267041842	21.2664092148733	158.471802400487	14.9152997485687	46.4933671969217	54.3268880663165	42.8048073265554	26.2398951776027	43.0492481498972	21.1773511338584	158.617296879881	39.3604572734984	89.0263188268292	80.1912126146479	71.3869877883451	32.2242163428913	80.2058018710439	120.656233560792	12.2370188841974	29.0101072679591	44.619541819096	40.0773336568309	14.2597656886734	271.877137950551	13.1183795104011	95.7721507844113	82.7376907704771	6.35893642590332	3.22272547554339	63.5854558474898	122.993915715853	56.0087905866755	37.0947440400884	53.8136036189268	55.8837868376689	102.249232924232	227.074961010572	26.1726972644747	19.6277472652755	88.1784591528906	33.589903228601	41.9399216722565	47.3727307859875	33.8214519895367	21.2866723406623	88.6865526137149	11.4341876789227	0
"K00010"	228.582479862247	403.005819549099	432.061997270315	370.330887689635	405.166628661126	331.053980139068	452.349216278981	237.361181898282	412.150216619341	423.254628330654	30.9177608924209	141.686168936486	439.227361622735	251.277047922825	254.954502092254	194.888806626116	232.669916270325	244.242752271745	323.365917057448	329.214143460254	374.143098118451	424.640912333554	295.586956785995	286.203767167597	445.740689071931	542.055676042147	305.08841826694	604.924128808285	527.955370102872	167.678271006361	287.56301034515	224.82020516712	317.952213304025	363.863851343547	235.336897023275	221.082008754752	311.323968675197	405.998573644548	391.561443172746	595.112959705876	247.556263751656	565.988800258727	394.297256647463	618.476176983494	624.840922181846	1095.3812933987	785.42462338047	525.167313546666	695.62185665792	281.857365945203	178.48848447831	130.517105800027	472.865378268086	671.046953463143	308.799448398945	381.770111777666	427.351556915261	237.117870230925	276.083313251672	325.254125416598	465.091888389791	393.687529040198	286.332002812308	514.518850536131	364.355392743494	268.770376618321	324.87848312007	238.817074657414	252.228310224413	531.867825772974	754.339369651498	393.408594386237	310.382306716795	692.069086471122	607.258195695152	457.489380819046	576.491172994332	473.577809386845	357.830258334751	310.416176336644	170.678464290369	568.774346143901	150.909814348071	331.061178142194	274.124727035722	217.75229177377	240.107266654591	481.953790735005	402.96300317857	565.70487326436	565.714059385096	334.279905728631	385.683656640834	245.242236761172	267.92932365822	259.152893401395	591.652210420503	541.34722937327	407.971619753361	412.843984197348	532.866648556071	421.468228707421	130.189969608495	294.289070363885	513.231511076841	253.487556903863	140.262776562255	321.214902836397	201.845238747334	232.47518636217	240.272087868427	399.253002140733	461.751640027385	914.572726602787	356.821503501302	430.897204066178	256.496006918822	575.714686614465	116.785782065079	615.911722740505	487.219812464951	411.928343361626	526.265026641503	486.653168584992	485.98798140029	455.090400930828	426.760137109784	373.687272159418	555.542921000951	673.022374256893	222.55420021251	265.237499549139	308.400589853709	200.369677947559	455.169586155279	402.871358494618	597.196004270517	459.807255508916	572.932477824403	338.057304420638	538.451290835215	568.328385822862	369.932723474782	524.472748264416	908.683597904387	391.546324671779	341.99804117832	505.29898158527	336.911977521503	401.815743997504	423.803189867456	318.944424069971	282.439816241383	411.34216316398	445.700886810413	359.233645703644
