"ko","mean_est","shape","rate","method","prop_positive"
"K00001",251.616026420342,5.60180535650827,0.0222633090435586,"gamma_mle",1
"K00002",79.6426973492886,2.91088489479367,0.0365493007102386,"gamma_mle",1
"K00003",582.88097695753,21.8518260133358,0.0374893449558022,"gamma_mle",1
"K00004",19.6273557736685,1.44138883295489,0.0550783119836476,"zero_inflated_gamma",0.75
"K00005",197.698642966421,3.70973637957757,0.0186443162323379,"zero_inflated_gamma",0.993589743589744
"K00006",0,-1,-1,"zero",0
"K00007",1.25223751304863,0.885596953963886,0.0498674879252965,"zero_inflated_gamma",0.0705128205128205
"K00008",402.550646303263,6.31380644303519,0.0156845020645642,"gamma_mle",1
"K00009",45.1623042945133,1.56655857242852,0.0335755313078208,"zero_inflated_gamma",0.967948717948718
"K00010",397.090568825026,5.63843354374926,0.0141993640403829,"gamma_mle",1
"K00011",19.7844511617276,1.28839359801162,0.0492585881641513,"zero_inflated_gamma",0.756410256410256
"K00012",456.332333925231,9.17741302707179,0.0201112486334915,"gamma_mle",1
"K00013",487.061027530048,21.7917838696524,0.0447413827794054,"gamma_mle",1
"K00014",683.578129131432,36.3230284485051,0.0531366158461767,"gamma_mle",1
"K00015",67.4304721679408,2.54197987326741,0.037697791392242,"gamma_mle",1
"K00016",419.059390267478,5.80181097913353,0.0138448418383617,"gamma_mle",1
"K00018",473.704857940611,13.7973347463885,0.0291264370949691,"gamma_mle",1
"K00019",20.4064482137889,1.65505418573813,0.0592686518262401,"zero_inflated_gamma",0.730769230769231
"K00020",71.5689330094927,1.7473912404897,0.0241024801705477,"zero_inflated_gamma",0.987179487179487
"K00021",0.168851844407794,7.09311066755374,0.807844147953749,"zero_inflated_gamma",0.0192307692307692
"K00022",0,-1,-1,"zero",0
"K00023",2.3558476344967,1.35976634339315,0.0850981906493828,"zero_inflated_gamma",0.147435897435897
"K00024",202.571963114953,2.68516320617895,0.0132553546151656,"gamma_mle",1
"K00025",0,-1,-1,"zero",0
"K00026",0,-1,-1,"zero",0
"K00027",434.863765119522,13.189264969575,0.0303296481047345,"gamma_mle",1
"K00029",178.440231413582,2.19081546979921,0.0122775870242032,"gamma_mle",1
"K00030",127.380142874546,3.57838042318041,0.0280921369879816,"gamma_mle",1
"K00031",435.776912043481,15.1326767341308,0.0347257422683762,"gamma_mle",1
"K00032",1.74963109882191,1.49999940465771,0.137391545074306,"zero_inflated_gamma",0.16025641025641
"K00033",205.808094871437,2.64021503682519,0.0128285286274792,"gamma_mle",1
"K00034",41.4653015003018,1.59341365170288,0.0362106601592366,"zero_inflated_gamma",0.942307692307692
"K00035",1.74947516567131,2.32811794944561,0.0767741661722083,"zero_inflated_gamma",0.0576923076923077
"K00036",134.646603454534,2.41966354767016,0.0179704759391663,"gamma_mle",1
"K00038",20.0990088632461,1.31721341193474,0.0499923860535997,"zero_inflated_gamma",0.762820512820513
"K00039",0.404856945346486,1.80959593499203,0.114608125913009,"zero_inflated_gamma",0.0256410256410256
"K00040",207.648231171799,4.40532067406157,0.021215305563652,"gamma_mle",1
"K00041",238.085453442505,5.95399114427636,0.0250077905146531,"gamma_mle",1
"K00042",91.3740663379063,2.07418071517495,0.0226998840951711,"gamma_mle",1
"K00043",1.3368441049134,4.0054800160015,0.211271974344606,"zero_inflated_gamma",0.0705128205128205
"K00044",2.66508287645065,1.3942122707783,0.127431612933876,"zero_inflated_gamma",0.243589743589744
"K00045",9.73200074708919,0.670504807239696,0.0269404595082974,"zero_inflated_gamma",0.391025641025641
"K00046",434.008207737468,5.09292281677884,0.0117346232766629,"gamma_mle",1
"K00048",473.543750140945,14.5161148939522,0.0306542212617771,"gamma_mle",1
"K00049",1.54025714624695,1.51994751596451,0.107537437258769,"zero_inflated_gamma",0.108974358974359
"K00050",0,-1,-1,"zero",0
"K00052",546.821759670329,26.1506400629144,0.0478229690030627,"gamma_mle",1
"K00053",696.841409126898,10.6991915105168,0.0153538400135007,"gamma_mle",1
"K00054",10.8541032072766,0.946512214092149,0.036334654431945,"zero_inflated_gamma",0.416666666666667
"K00055",2.29453720761428,2.54155627793719,0.177508860704135,"zero_inflated_gamma",0.16025641025641
"K00057",613.645044011226,45.8919817777276,0.0747858753616661,"gamma_mle",1
"K00058",858.829503787312,37.1064465843981,0.0432058358740171,"gamma_mle",1
"K00059",1776.68460265557,54.5610015216513,0.0307094469328435,"gamma_mle",1
"K00060",47.0001901096937,1.44639684419325,0.0299851924499668,"zero_inflated_gamma",0.974358974358974
"K00061",0.730984628526414,0.728557411375013,0.038333827833736,"zero_inflated_gamma",0.0384615384615385
"K00064",1.02414162834134,2.2199757521953,0.333483887048032,"zero_inflated_gamma",0.153846153846154
"K00065",122.694102412916,2.18462864191212,0.0178054902309808,"gamma_mle",1
"K00066",1.53044508740054,1.57910491690604,0.132281353959029,"zero_inflated_gamma",0.128205128205128
"K00067",721.511257121118,20.8384205794867,0.0288816291829367,"gamma_mle",1
"K00068",30.9686805829646,1.29837430242184,0.0344003277152057,"zero_inflated_gamma",0.82051282051282
"K00069",0.849353894676422,5.80349498364526,0.569402913204612,"zero_inflated_gamma",0.0833333333333333
"K00070",0,-1,-1,"zero",0
"K00071",1.30381075528106,1.8888710580662,0.21359495498766,"zero_inflated_gamma",0.147435897435897
"K00072",0,-1,-1,"zero",0
"K00073",12.3318108413715,1.41277065439918,0.0741722726911617,"zero_inflated_gamma",0.647435897435897
"K00074",283.371669953379,10.0358611137976,0.0354158943109898,"gamma_mle",1
"K00075",647.278982262119,35.3833323863134,0.0546647324506897,"gamma_mle",1
"K00076",20.1468511989478,1.00993101024532,0.0353470045281711,"zero_inflated_gamma",0.705128205128205
"K00077",634.527619455102,11.9653621966761,0.018857118003707,"gamma_mle",1
"K00078",364.499003231299,6.68402728956371,0.0183375735744392,"gamma_mle",1
"K00079",0.574121439497914,4.48866155698316,0.300704375829818,"zero_inflated_gamma",0.0384615384615385
"K00081",0.163195464982272,-1,-1,"mean_only",0.00641025641025641
"K00082",32.2818280062929,1.4534205657397,0.0386734914309387,"zero_inflated_gamma",0.858974358974359
"K00086",23.8135608119599,1.38341289027656,0.0499008195374695,"zero_inflated_gamma",0.858974358974359
"K00087",379.874523979591,6.898813827508,0.0181607699174863,"gamma_mle",1
"K00088",812.904895175659,42.8539674594942,0.0527170739330263,"gamma_mle",1
"K00090",6.60394237817005,0.955489001747547,0.0593577995459511,"zero_inflated_gamma",0.41025641025641
"K00091",102.927614597812,2.77140890184799,0.0265806025834889,"zero_inflated_gamma",0.987179487179487
"K00093",0,-1,-1,"zero",0
"K00094",1.05982131815958,1.0220456463781,0.148362548531791,"zero_inflated_gamma",0.153846153846154
"K00096",110.474787891154,2.82614565526964,0.0254178296294468,"zero_inflated_gamma",0.993589743589744
"K00097",144.079690530085,2.28455482163012,0.015652904645706,"zero_inflated_gamma",0.987179487179487
"K00098",3.45775703290845,2.31671808693797,0.300643734604501,"zero_inflated_gamma",0.448717948717949
"K00099",627.705889238717,44.4098305884738,0.0707494247701485,"gamma_mle",1
"K00100",26.3246178582561,1.30261388272661,0.0406012120179725,"zero_inflated_gamma",0.82051282051282
"K00101",12.5533174210427,0.937904284075964,0.0450197692187662,"zero_inflated_gamma",0.602564102564103
"K00102",38.3013965195015,1.24464104607374,0.0318710478538301,"zero_inflated_gamma",0.980769230769231
"K00103",0,-1,-1,"zero",0
"K00104",97.1479253986957,1.89878910260506,0.0194200480334054,"zero_inflated_gamma",0.993589743589744
"K00105",0.959810304651518,1.20112306171813,0.0401095235619549,"zero_inflated_gamma",0.032051282051282
"K00106",3.11125353409848,1.09177093472675,0.103473552246206,"zero_inflated_gamma",0.294871794871795
"K00108",4.33082233565754,1.04401085636283,0.0571757371534751,"zero_inflated_gamma",0.237179487179487
"K00111",433.166076245435,13.4662090407262,0.0310878662462389,"gamma_mle",1
"K00112",31.0195109293382,1.07209743023462,0.0294663505672737,"zero_inflated_gamma",0.852564102564103
"K00113",34.7073815351001,0.843447118281336,0.0205629463127136,"zero_inflated_gamma",0.846153846153846
"K00114",0.863396629418063,3.88439044367286,0.605629783294134,"zero_inflated_gamma",0.134615384615385
"K00116",7.37797393474857,0.52143274194092,0.0176685614015621,"zero_inflated_gamma",0.25
"K00117",8.49030698699345,0.69240260677976,0.0454809947648211,"zero_inflated_gamma",0.557692307692308
"K00118",12.4349888393347,1.59816632935503,0.0889765851578228,"zero_inflated_gamma",0.692307692307692
"K00121",5.76632402807207,0.585636867040867,0.0266924614317486,"zero_inflated_gamma",0.262820512820513
"K00122",0.738726671933385,1.52607138477278,0.0264847859118067,"zero_inflated_gamma",0.0128205128205128
"K00123",229.351371740246,4.1912969207065,0.0182745666132462,"gamma_mle",1
"K00124",43.0487731072984,1.3616585924818,0.0294002386873091,"zero_inflated_gamma",0.92948717948718
"K00125",44.8990688384122,2.29837151591458,0.0508615974507211,"zero_inflated_gamma",0.993589743589744
"K00127",23.3043153284808,1.40414397674168,0.0498242081487457,"zero_inflated_gamma",0.826923076923077
"K00128",214.683015289701,4.46192106691807,0.0207837637313646,"gamma_mle",1
"K00129",7.60016989215692,1.6961550469311,0.0786828966215547,"zero_inflated_gamma",0.352564102564103
"K00130",13.4455025334165,1.12332154361746,0.0615885942086223,"zero_inflated_gamma",0.737179487179487
"K00131",3.25248950306558,1.0400066290762,0.0655912011223285,"zero_inflated_gamma",0.205128205128205
"K00132",21.9981533341584,1.907588250002,0.0789336453073034,"zero_inflated_gamma",0.91025641025641
"K00133",626.387727714565,45.1271513620679,0.072043479406467,"gamma_mle",1
"K00134",683.250272082328,31.4756521043443,0.0460675295575319,"gamma_mle",1
"K00135",16.9334720426696,0.915920034387211,0.0336324634972124,"zero_inflated_gamma",0.621794871794872
"K00137",3.03921694183449,0.586871966649879,0.0334211068745072,"zero_inflated_gamma",0.173076923076923
"K00138",12.3157626428996,1.03938602864798,0.0454433408850964,"zero_inflated_gamma",0.538461538461538
"K00139",0,-1,-1,"zero",0
"K00140",24.362386263178,1.288121616966,0.0488061935269038,"zero_inflated_gamma",0.923076923076923
"K00141",0,-1,-1,"zero",0
"K00142",1.20139003887272,1.84288046590966,0.10816362323197,"zero_inflated_gamma",0.0705128205128205
"K00143",0.975143341052174,1.11547206101019,0.0439963744520093,"zero_inflated_gamma",0.0384615384615385
"K00145",596.562294056407,33.2792382401682,0.0557850178794932,"gamma_mle",1
"K00146",2.8094011978081,0.505800862687116,0.0253900692245113,"zero_inflated_gamma",0.141025641025641
"K00147",575.328680670578,35.0802586468484,0.0609742914362627,"gamma_mle",1
"K00148",1.63993881586568,0.704816166756554,0.0303051402773247,"zero_inflated_gamma",0.0705128205128205
"K00149",0.153097580742228,3.70098492164805,0.309923412286985,"zero_inflated_gamma",0.0128205128205128
"K00150",6.25166410380162,1.37660580610971,0.0790455434910703,"zero_inflated_gamma",0.358974358974359
"K00151",2.58493614564498,0.65686097501114,0.0342072638579234,"zero_inflated_gamma",0.134615384615385
"K00153",7.59936322012437,1.28277980163323,0.0779081350619695,"zero_inflated_gamma",0.461538461538462
"K00154",0,-1,-1,"zero",0
"K00156",31.0563353681311,1.19823864300412,0.0358621660745374,"zero_inflated_gamma",0.92948717948718
"K00157",1.87705656418908,1.90382128334097,0.292574676131623,"zero_inflated_gamma",0.288461538461538
"K00158",8.16599188353276,1.31498532754514,0.0485160262879425,"zero_inflated_gamma",0.301282051282051
"K00161",14.5339731999647,0.903206314189816,0.0414296582571568,"zero_inflated_gamma",0.666666666666667
"K00162",11.2651281803238,1.00428865465476,0.0520042949508426,"zero_inflated_gamma",0.583333333333333
"K00163",6.15182417164997,0.451546951739154,0.0239963163313569,"zero_inflated_gamma",0.326923076923077
"K00164",20.4710022160224,0.680499353265406,0.0245054032515091,"zero_inflated_gamma",0.737179487179487
"K00166",0.359676313629099,8.94385164594214,0.318799877408133,"zero_inflated_gamma",0.0128205128205128
"K00167",2.03390441637751,1.97752372850334,0.0498604912010568,"zero_inflated_gamma",0.0512820512820513
"K00169",66.2680416582951,1.90400106337176,0.0283634576530941,"zero_inflated_gamma",0.987179487179487
"K00170",54.3376424829509,1.72419883297189,0.0315277991106773,"zero_inflated_gamma",0.993589743589744
"K00171",40.8281447544451,1.55770072801572,0.0317938507326316,"zero_inflated_gamma",0.833333333333333
"K00172",45.6326514808199,1.96696673586825,0.0408938903678152,"zero_inflated_gamma",0.948717948717949
"K00174",399.201866639124,2.97271673869593,0.00744665039701142,"gamma_mle",1
"K00175",412.334744558987,3.27895533528433,0.00795216842274918,"gamma_mle",1
"K00176",275.594466472401,2.57061356563912,0.00926773061246305,"zero_inflated_gamma",0.993589743589744
"K00177",207.887075838245,2.46345820609824,0.0117740210519182,"zero_inflated_gamma",0.993589743589744
"K00179",315.38041133223,4.99333021625074,0.0158327214907163,"gamma_mle",1
"K00180",241.388732678118,4.49095993856076,0.0183661576905653,"zero_inflated_gamma",0.987179487179487
"K00183",83.12070754952,1.12877119656749,0.0134928529464311,"zero_inflated_gamma",0.993589743589744
"K00184",202.729635486268,1.32090516849119,0.00651559978057902,"gamma_mle",1
"K00185",60.4092631002918,1.2549871286459,0.0205084036204297,"zero_inflated_gamma",0.987179487179487
"K00186",0.312859940954488,1.23952070568857,0.0761904402817896,"zero_inflated_gamma",0.0192307692307692
"K00187",1.02808316807116,1.54539138366013,0.0578145153881752,"zero_inflated_gamma",0.0384615384615385
"K00188",0.905434122943744,1.95484084423463,0.0276796085662097,"zero_inflated_gamma",0.0128205128205128
