"reaction","out_degree","in_degree","abundance"
"R00623",12,14,50.9170456035312
"R00624",83,83,50.9170456035312
"R00754",11,12,50.9170456035312
"R02124",3,1,58.3943410935773
"R02878",83,83,50.9170456035312
"R04805",82,82,50.9170456035312
"R04880",3,4,50.9170456035312
"R05233",2,2,50.9170456035312
"R05234",2,2,50.9170456035312
"R06917",0,0,50.9170456035312
"R06927",0,0,50.9170456035312
"R08281",0,0,50.9170456035312
"R08306",1,0,50.9170456035312
"R08557",2,5,50.9170456035312
"R08558",2,5,50.9170456035312
"R10783",0,0,50.9170456035312
"R08310",0,0,50.9170456035312
"R07105",0,0,50.9170456035312
"R07328",86,87,14.6386296406917
"R00625",97,100,14.6386296406917
"R00746",11,12,14.6386296406917
"R01041",9,6,15.8751578382997
"R05231",0,1,14.6386296406917
"R01481",6,7,14.6386296406917
"R01773",9,6,164.471320476109
"R01775",9,6,164.471320476109
"R02855",1,0,9.81367788683427
"R02946",0,2,9.81367788683427
"R01034",9,7,49.549103681431
"R10715",8,11,49.549103681431
"R10717",3,0,49.549103681431
"R05604",6,6,0.417412504349544
"R00868",14,10,10.1494132514387
"R07145",86,83,100.637661575816
"R00875",19,17,100.637661575816
"R01896",7,8,157.642049665458
"R00758",100,100,22.5811521472566
"R02703",13,14,22.5811521472566
"R01183",6,9,198.545284412513
"R09951",1,1,198.545284412513
"R02819",83,83,1.23652819760798
"R01036",9,6,1.23652819760798
"R01093",11,4,1.23652819760798
"R01758",2,2,1.23652819760798
"R02820",87,88,1.23652819760798
"R01095",11,4,1.23652819760798
"R01431",6,4,1.58653223851311
"R01759",2,2,1.23652819760798
"R01787",14,15,1.23652819760798
"R02531",88,89,1.23652819760798
"R02577",89,90,1.23652819760798
"R04285",0,2,1.36485419718742
"R11764",4,3,1.23652819760798
"R00286",26,16,456.332333925231
"R01158",5,1,121.765256882512
"R01163",5,1,121.765256882512
"R03012",1,1,121.765256882512
"R02413",6,6,343.686213248977
"R12885",109,110,343.510237769794
